Name;Path;Data Type;Logical Address;Comment;Kind;Station
4a_vor_Palletizer_Band_set;Standard-Variablentabelle;Bool;%E8.1;4a | Factory I/O: 4a_vor_Palletizer_Band_set;PLC;Standard-Variablentabelle
4a_Pallet_at_Palletizer;Standard-Variablentabelle;Bool;%E8.2;4a | Factory I/O: 4a_Pallet_at_Palletizer;PLC;Standard-Variablentabelle
4a_at_Palletizer_machine_2;Standard-Variablentabelle;Bool;%E8.3;4a | Factory I/O: 4a_at_palletierer machine | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
4a_Pallet_Present;Standard-Variablentabelle;Bool;%E8.4;4a | Factory I/O: 4a_Pallet_Present;PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Moving_Z;Standard-Variablentabelle;Bool;%E8.5;4a | Factory I/O: 4a_Pick & Place 1 (Moving-Z);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Moving_XY;Standard-Variablentabelle;Bool;%E8.6;4a | Factory I/O: 4a_Pick & Place 1 (Moving-XY);PLC;Standard-Variablentabelle
1a_Emitter_1_Emit;Standard-Variablentabelle;Bool;%A0.0;1a | Factory I/O: 1a_Emitter 1 (Emit);PLC;Standard-Variablentabelle
1a_Emitter_2_Emit;Standard-Variablentabelle;Bool;%A0.1;1a | Factory I/O: 1a_Emitter 2 (Emit);PLC;Standard-Variablentabelle
1a_M_C_1_AN_WESEND_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A0.2;1a | Factory I/O: 1a_M_C_1_AN_WESEND_Belt Conveyor (2m);PLC;Standard-Variablentabelle
1a_M_C_ANWESEND_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A0.3;1a | Factory I/O: 1a_M_C_ANWESEND_Belt Conveyor (2m);PLC;Standard-Variablentabelle
1b_DC_0_Belt_Conveyor_2m;Standard-Variablentabelle;Bool;%A1.0;1b | Factory I/O: 1b_DC_0_Belt_Conveyor(2m);PLC;Standard-Variablentabelle
